segment_id,mountain_group,source_code,region,section_name,length_km,difficulty,up_min,down_min,surface,risk_note,start_node,end_node,park_flag,polyline
S35166,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00024,N00026,1,"[[127.0915,37.562809],[127.091505,37.562866],[127.091626,37.562922],[127.091625,37.563016]]"
S35167,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00056,N00024,1,"[[127.091779,37.562671],[127.091747,37.562686],[127.091671,37.562726],[127.091639,37.562777],[127.0915,37.562809]]"
S35168,아차산·용마산,112150201,서울,중곡동구간,0.04,쉬움,1,0,토사,,N00057,N00056,1,"[[127.092233,37.56276],[127.0922,37.562727],[127.092147,37.562728],[127.092115,37.562697],[127.092052,37.562671],[127.091982,37.562665],[127.091896,37.562674],[127.091839,37.56268],[127.091779,37.562671]]"
S35169,아차산·용마산,112150201,서울,중곡동구간,0.18,쉬움,3,2,토사,,N00058,N00057,1,"[[127.093489,37.563778],[127.093435,37.563792],[127.093424,37.563753],[127.093411,37.563715],[127.093366,37.563698],[127.093335,37.563679],[127.093303,37.563668],[127.093236,37.563699],[127.093181,37.563687],[127.093174,37.563644],[127.093128,37.563611],[127.0931,37.563554],[127.093054,37.563526],[127.093013,37.563451],[127.092969,37.563377],[127.09293,37.563332],[127.092805,37.563253],[127.09277,37.563188],[127.092722,37.563132],[127.092695,37.563073],[127.092642,37.563037],[127.092608,37.562982],[127.092546,37.562944],[127.092519,37.562878],[127.092479,37.562837],[127.092423,37.562809],[127.09238,37.562778],[127.092233,37.56276]]"
S35170,아차산·용마산,112150201,서울,중곡동구간,0.03,쉬움,1,0,토사,,N00025,N00056,1,"[[127.091495,37.562575],[127.091591,37.562589],[127.091642,37.562597],[127.091721,37.562613],[127.091779,37.562671]]"
S35171,아차산·용마산,112150201,서울,중곡동구간,0.43,쉬움,8,5,토사,,N00059,N00060,0,"[[127.094381,37.568404],[127.094385,37.568334],[127.094358,37.568291],[127.094351,37.568246],[127.094367,37.568195],[127.094356,37.568123],[127.094286,37.568038],[127.094258,37.568018],[127.094252,37.567986],[127.094253,37.567932],[127.094231,37.567889],[127.094199,37.567832],[127.094163,37.567776],[127.094094,37.567688],[127.094062,37.567591],[127.094033,37.567552],[127.093999,37.567526],[127.093951,37.567484],[127.093921,37.567433],[127.093935,37.567397],[127.093926,37.567337],[127.093893,37.567282],[127.093858,37.567233],[127.093876,37.567179],[127.093905,37.56714],[127.093889,37.567075],[127.093859,37.567031],[127.093893,37.566979],[127.093894,37.566914],[127.093893,37.566867],[127.093898,37.566816],[127.093942,37.566779],[127.09399,37.566765],[127.094023,37.566668],[127.094078,37.566605],[127.094088,37.566516],[127.094041,37.56639],[127.094061,37.566326],[127.094132,37.566226],[127.094094,37.566143],[127.094053,37.566084],[127.094035,37.566034],[127.094023,37.565958],[127.09401,37.565898],[127.093957,37.565824],[127.093933,37.565746],[127.093893,37.565659],[127.093851,37.565561],[127.093785,37.56546],[127.093724,37.565357],[127.093723,37.565291],[127.093725,37.565225],[127.093717,37.565163],[127.093724,37.5651],[127.093744,37.56504],[127.09375,37.564973],[127.093716,37.564881],[127.093669,37.564835]]"
S35172,아차산·용마산,112150201,서울,중곡동구간,0.1,쉬움,2,1,토사,,N00047,N00022,0,"[[127.09216,37.565022],[127.092136,37.565044],[127.092126,37.565082],[127.092123,37.565141],[127.092104,37.565203],[127.092071,37.565247],[127.092063,37.565286],[127.092027,37.565322],[127.092013,37.56536],[127.092,37.565437],[127.091953,37.56548],[127.09188,37.565467],[127.09183,37.565413],[127.091777,37.565443],[127.091752,37.565465],[127.091688,37.565469],[127.091648,37.565484],[127.091601,37.565468],[127.091542,37.565478],[127.09149,37.565479]]"
S35173,아차산·용마산,112150201,서울,중곡동구간,0.02,쉬움,1,0,토사,,N00060,N00046,0,"[[127.093669,37.564835],[127.093611,37.564777],[127.093554,37.564765],[127.093512,37.5648],[127.093443,37.564813]]"
S35174,아차산·용마산,112150201,서울,중곡동구간,0.07,쉬움,1,1,토사,,N00061,N00026,1,"[[127.091963,37.563552],[127.091941,37.563525],[127.091931,37.563482],[127.091903,37.563454],[127.091907,37.563368],[127.091892,37.563285],[127.091866,37.563261],[127.091862,37.563218],[127.091817,37.563205],[127.091797,37.563161],[127.091755,37.563136],[127.091665,37.563063],[127.091625,37.563016]]"
S35175,아차산·용마산,112150201,서울,중곡동구간,0.13,쉬움,2,2,토사,,N00062,N00061,1,"[[127.091644,37.564427],[127.09167,37.564393],[127.091793,37.564375],[127.091803,37.564347],[127.091906,37.564314],[127.091918,37.564286],[127.091988,37.564297],[127.092033,37.564298],[127.09208,37.564294],[127.092089,37.564264],[127.092099,37.564223],[127.092107,37.564177],[127.09213,37.564141],[127.092098,37.564092],[127.092083,37.564052],[127.092057,37.564024],[127.092042,37.563974],[127.092017,37.563955],[127.092021,37.563906],[127.092032,37.563875],[127.092034,37.563826],[127.092028,37.563766],[127.092011,37.563726],[127.092018,37.563694],[127.092007,37.563636],[127.091978,37.563606],[127.091963,37.563552]]"
S35176,아차산·용마산,112150201,서울,중곡동구간,0.13,쉬움,2,2,토사,,N00022,N00062,1,"[[127.09149,37.565479],[127.09151,37.565443],[127.091628,37.565389],[127.091698,37.565347],[127.091742,37.565302],[127.091756,37.565222],[127.091791,37.565172],[127.091813,37.565101],[127.091806,37.564966],[127.091798,37.564896],[127.091762,37.5648],[127.091717,37.564689],[127.091681,37.564604],[127.091655,37.564553],[127.091635,37.564502],[127.091644,37.564427]]"
S35177,아차산·용마산,112150201,서울,중곡동구간,0.04,쉬움,1,0,토사,,N00063,N00021,0,"[[127.089675,37.569954],[127.089756,37.569909],[127.089815,37.569848],[127.089825,37.569793],[127.089807,37.569682]]"
S35178,아차산·용마산,112150201,서울,중곡동구간,0.04,쉬움,1,0,토사,,N00064,N00018,1,"[[127.089668,37.568187],[127.089881,37.568176],[127.08987,37.568154],[127.08998,37.568171],[127.090029,37.568156]]"
S35179,아차산·용마산,112150201,서울,구의동구간,0.15,쉬움,3,2,토사,,N00065,N00001,1,"[[127.097327,37.554249],[127.097266,37.554288],[127.097217,37.554348],[127.097166,37.554387],[127.097172,37.554424],[127.0972,37.554458],[127.097272,37.554508],[127.097344,37.554529],[127.097456,37.554538],[127.097567,37.554572],[127.097661,37.554599],[127.097744,37.554671],[127.097817,37.554705],[127.09793,37.554768],[127.098043,37.554802],[127.098053,37.554847],[127.098128,37.554895],[127.098147,37.554952],[127.098187,37.55498],[127.09824,37.555002],[127.098224,37.555036]]"
S35180,아차산·용마산,112150201,서울,중곡동구간,0.02,쉬움,1,0,토사,,N00012,N00021,0,"[[127.089767,37.569536],[127.089807,37.569682]]"
S35181,아차산·용마산,112150201,서울,중곡동구간,0.12,쉬움,2,1,토사,,N00066,N00014,1,"[[127.090471,37.568697],[127.09049,37.568699],[127.090631,37.568755],[127.090587,37.568761],[127.090572,37.56883],[127.090457,37.568904],[127.090474,37.568913],[127.09045,37.568996],[127.090506,37.569048],[127.090247,37.569143],[127.090118,37.569168],[127.090065,37.569221],[127.090032,37.569278],[127.089984,37.569342]]"
