node_id,lon,lat,degree
N00396,126.976724,37.47094,4
N00397,126.976033,37.471267,3
N00398,126.977241,37.470733,3
N00399,126.974264,37.464443,3
N00400,126.949467,37.451967,1
N00401,126.947533,37.454133,3
N00402,126.938633,37.440767,1
N00403,126.947053,37.447473,1
N00404,126.947377,37.44543,3
N00405,126.948466,37.444466,3
N00406,126.95395,37.4428,3
N00407,126.949573,37.445675,1
N00408,126.953717,37.442333,3
N00409,126.955617,37.439033,3
N00410,126.954324,37.439231,3
N00411,126.953191,37.453022,1
N00412,126.952233,37.447967,3
N00413,126.952583,37.447399,4
N00414,126.96441,37.445282,1
N00415,126.952919,37.446487,3
N00416,126.954883,37.4499,1
N00417,126.953497,37.44592,3
N00418,126.955277,37.443174,1
N00419,126.96325,37.440967,3
N00420,126.964183,37.4422,1
N00421,126.963866,37.440594,1
N00422,126.982205,37.612827,2
N00423,126.981631,37.612652,1
N00424,126.985567,37.613934,3
N00425,126.950047,37.618123,3
N00426,126.956648,37.608574,1
N00427,126.97559,37.617384,3
N00428,126.973891,37.616173,1
N00429,126.977735,37.626244,3
N00430,126.952687,37.614248,1
N00431,126.981987,37.620481,3
N00432,126.96436,37.621224,3
N00433,126.960466,37.625101,3
N00434,126.954294,37.622145,3
N00435,126.953447,37.623514,3
N00436,126.957744,37.613536,1
N00437,126.958586,37.627591,3
N00438,126.951673,37.625272,2
N00439,126.947852,37.622143,4
N00440,126.954362,37.625737,3
N00441,126.978943,37.626387,3
N00442,126.975132,37.631295,3
N00443,126.978237,37.628209,4
N00444,126.959346,37.62809,3
N00445,126.979658,37.628273,3
N00446,126.977039,37.627807,1
N00447,126.960151,37.628731,3
N00448,126.968674,37.631416,2
N00449,126.975411,37.631473,2
N00450,126.974413,37.631879,4
N00451,126.988208,37.614521,3
N00452,126.992142,37.612084,1
N00453,126.988261,37.615511,3
N00454,126.996658,37.618786,3
N00455,126.998837,37.618003,1
N00456,126.986595,37.618844,3
N00457,126.995139,37.620197,3
N00458,126.993215,37.621371,2
N00459,126.99241,37.621798,3
N00460,126.994691,37.629876,3
N00461,126.996307,37.629184,3
N00462,126.99194,37.632122,1
N00463,126.977208,37.633073,2
N00464,126.97721,37.633316,4
N00465,126.982807,37.635917,3
N00466,126.984653,37.63665,2
N00467,127.009679,37.627527,1
N00468,127.004087,37.635213,1
N00469,126.98636,37.640422,3
N00470,126.987502,37.641774,3
N00471,126.985934,37.640503,3
N00472,126.989774,37.64314,3
N00473,126.994958,37.650479,3
N00474,127.00186,37.642235,3
N00475,127.002208,37.642366,1
N00476,127.000999,37.64265,3
N00477,127.002948,37.6432,1
N00478,126.997037,37.650286,4
N00479,126.983233,37.64355,2
N00480,127.004704,37.644573,1
N00481,127.00279,37.656764,3
N00482,126.998372,37.654964,3
N00483,126.982606,37.650727,3
N00484,126.982292,37.650904,3
N00485,126.988979,37.660042,4
N00486,126.981651,37.657564,3
N00487,127.000555,37.656549,3
N00488,127.007852,37.655438,3
N00489,127.010169,37.653493,1
N00490,127.002074,37.658165,3
N00491,127.003331,37.65672,3
N00492,127.006702,37.656976,3
N00493,127.004357,37.658948,3
N00494,127.006909,37.657092,3
N00495,127.010552,37.65725,1
N00496,127.008966,37.661037,1
N00497,127.004069,37.658698,3
N00498,126.991661,37.658516,3
N00499,127.006793,37.660859,3
N00500,126.985513,37.659872,4
N00501,126.987034,37.662185,4
N00502,127.007714,37.66126,1
N00503,126.995509,37.665479,1
N00504,126.987821,37.662887,2
N00505,126.990472,37.664107,3
N00506,126.99251,37.664917,3
N00507,126.994074,37.666299,3
N00508,127.004238,37.671313,3
N00509,126.993882,37.670263,3
N00510,126.993848,37.670953,4
N00511,126.993915,37.670961,2
N00512,127.0116,37.664333,1
N00513,126.945487,37.613886,3
N00514,126.945127,37.610748,1
N00515,126.935019,37.614771,3
N00516,126.933918,37.6143,1
N00517,126.936625,37.620216,3
N00518,126.948349,37.615204,3
N00519,126.94786,37.61072,1
N00520,126.943381,37.615243,3
N00521,126.943382,37.614047,1
N00522,126.943824,37.618498,3
N00523,126.942531,37.618511,2
